本文,Level
アラームの81秒後にCVRのケーブルが焼き切れ、記録はそこでストップしていた。,2
また後の調査で、溶融した金属塊の中から焼け焦げた未使用の消火器が回収され、乗組員は貨物室に入って消火しようとしたものの、火勢の強さにあきらめざるを得なかったと考えられている。,2
貨物室を復元しての調査が行われた結果、燃えたのは床から1m以上の部分であり、特に貨物室前方の壁と天井が激しく燃えていたことが判明した。,2
ファン・セイルは、右前方のパレットが火元であることを発見した。,2
パレットに積まれた貨物の大部分はポリスチレン包装のコンピューター機器だった。,2
何らかの原因でこれが発火し、ポリスチレンが燃えてガスが発生・天井付近に蓄積。,2
これがフラッシュオーバーを起こし、貨物室全体に影響を及ぼした可能性があった。,2
ファン・セイルは火元は特定できたものの、なぜ火災が起こったのかについては突き止めることが出来ず、そのまま調査を終了した。,2
ただし公式報告書ではコンピューター機器の存在に注目し、コンピューターの中に含まれているリチウム電池が自然発火した可能性を指摘している。,2
事故現場から回収されたカーボンファイバー製テニスラケットを溶かすには600°Cの温度が必要であり、公式報告 は、火災がかなりの時間にわたって燃え続け、構造的損傷を引き起こした可能性があり、それを認めるに十分な証拠があると述べている。,2
墜落の直接原因は特定されなかったが、ボーイング社は機体の分解を伴うあらゆるシナリオをあげ、委員会はそのうち以下の2つの可能性について言及した。,2
まず、乗組員がコックピットに侵入した煙により意識を喪失したこと。,2
そして、火災の熱が機体構造を劣化させて空中分解・尾部が分離したことである。,2
委員会はテロの可能性を否定し、この事故を個人の責任とすることは不可能であるとした。,2
また、クラスB貨物室（747-200 Combiに搭載されているタイプ）の火災検知およびコントロールシステムの不備が、事故の主な原因であると結論付けた。,2
この事故は、クラスBの貨物室に関する対容量規制が大きく立ち遅れているという事実を、世界中の航空当局に警告することとなった。,2
この事故から2年後、アメリカの連邦航空局は貨物室の耐火性に関する耐空性改善通達 (AD) を発行し、B747-400コンビの製造にフィードバックされている。,2
ボーイングの捜査官であるFred Bereswill（フレッド・ベレスウィル）は、この理由から295便の火災を重要視している。,2
NTSBのBarry Strauchはボーイングの本社を訪問し、コンビの設計について問い合わせた。,2
客室内の空気は貨物室よりもわずかに高い圧力を持つように設計されているため、乗務員が貨物室のドアを開いても、客室からの空気が貨物室に流れ込み、煙やガスが流れ込まないようになっていた。,2
ボーイング社では米国の連邦規則に従い、大量のタバコの葉を燃やす実験を行ったが、火災は貨物室の中にとどまった。,2
調査官は、プラスチック製のカバーと予備のパレットが火災の燃料となったことを考慮し、295便と同様の条件で再試験を行った。,2
その結果、高温の炎により加熱された空気は通常よりも高い圧力を持ち、貨物室のドアを開くと煙・ガスが客室に流れ込んだ。,2
事故現場を再現したテストのデータは、クラスB貨物室の使用が十分な防火性能を備えていなかったということを証明したのである。,2
その後、南アフリカ航空は1993年にコンビの使用を中止し、 連邦航空局は手動消防をメインデッキの貨物室の主な消火手段にすべきではないと規定する新しい規則を導入した。,2
これらの新しい規格に準拠するためには、重量の増加や追加の装置類を設置することが必須であり、経済的負担の大きさから747コンビは使われなくなった。,2
にもかかわらず、コンビは最後の機体がKLMに納入された2002年まで、747製品ラインに残っていた。,2
しかし、実際にはこのとき調査は再開されず、火災の原因となった貨物の性質に関しては多くの陰謀論が生まれることとなった。,2
南アフリカの政府の化学者は、295便目の右前パレットの横にあるナイロンネットに付着していた鉄粉を調べ、溶融状態の間に高速で飛び散っていたことを発見した。,2
つまり火災は、梱包によって引き起こされたフラッシュオーバーによるものではなかった可能性もある。,2
また、イギリスの火災・爆発のアナリストは、パレットの上に位置していた航空機の外装、スキンと呼ばれるパネルが摂氏300度にまで熱せられていたと主張した。,2
一方ボーイングの捜査官であるフレッド・ベレスウィルは、発火元がそれ自身の酸化剤を含む、線香花火のような特性を持っていたことが考えられること、機外の冷気流が原因で、飛行中の航空機のスキンがそれほどの高温になることは困難であると述べた。,2
法廷科学者のデービッド・クラッツォウ博士は、ボーイングの弁護士に依頼されこの事件に取り組んだ。,2
彼はその後、マーゴ判事の委員会が「比較的無関係な問題」を調査するのに過度の時間を費やしたこと、およびこの委員会が最も重要な質問を無視したと批判し、委員会がCVR記録から何かを隠したのではないかと疑うようになった。,2
博士は、この火災は通常旅客機では運ばれない物質を積んでいたとし、当時武器禁輸の下にあった南アフリカ政府が、武器を密輸入していたのではないかと考えている。,2
博士は、乗組員の会話が離陸直後に南シナ海の上で火災が始まったことを示唆していると主張した。,2
ボイスレコーダーは長時間の飛行のために働いていなかったか、または乗組員の手でオフにされたというのである（当時の航空機のコックピットボイスレコーダーは30分しか記録できなかった）。,2
日本水産トロール部（戸畑区、ニッスイマリン工業の前身）のトロール漁船「天塩丸」「吉野丸」（日本船舶）の交代船員社員38人（成田空港から台北間はキャセイパシフィック航空利用）,2
宝幸水産トロール漁船「三上丸」の設備保守で向かった新潟コンバータと日本無線の技術社員各1名,2
日本鰹鮪漁業協同組合連合会（現:日かつ漁協）理事長、理事(昭和シェル石油からの出向社員）各1名,2
新日鐵グループ（現:日鉄エンジニアリングとNSエンジニアリング）社員2名,2
ハル薗田（全日本プロレス）夫妻（タイガー・ジェット・シンに招聘され、新婚旅行を兼ねた海外興行に向かっていた）,2
同年12月1日に南アフリカ航空の手配で日本人乗客の家族ら132人が日水乗組員と同じルートでモーリシャスに向かい、事故現場に船と低空飛行のチャーター機(B707)で接近。,2
12月8日に南アフリカ航空のチャーター機で帰国する際、特例で成田空港への着陸が許可され、皮肉にもアパルトヘイト政権下で同社機材が初来日する結果となった。,2
遺体が発見されないまま、同月下旬には後楽園ホールでハル薗田夫妻の追悼試合や、1000人が参列した日本水産の社葬が行われた。,2
30年を迎えた2017年11月29日には、在モーリシャス日本大使館員による慰霊がベル・マールで行われた。,2
この事故の翌日1987年11月29日、バグダッド発アブダビ・バンコク経由ソウル行大韓航空858便がベンガル湾上空で爆破された。,2
北朝鮮の工作員によるテロと断定されたこともあり、日本でのマスコミ報道の関心とリソースはこの「大韓航空機爆破事件」に振り向けられた。,2
2000年に入り、真実和解委員会や事故調査委員会の一部が、事故機には軍関係機関によって過塩素酸アンモニウムなどの可燃性物質や兵器が搭載されていたと主張したが、確認されることはなかった。,2
南アフリカ当局は2002年に新たに導入された技術によって再調査し、原因は積荷リストに記載された物品ではありえないという結論に達した。,2
また、南アフリカのフォトジャーナリストが2007年に出版した書籍にて、1998年に発生したスイス航空111便墜落事故と同じく電線の劣化により発火し、燃え広がったとする仮説を記している。,2
"南北戦争当時、北軍に全滅させられた南部の村に住んでいた2,000人の住人たちの怨霊が、戦争終結から100年後、記念祭を装って北部からやって来た旅行客を誘い込み、次々に惨殺してバーベキューにしていく。",2
残酷描写満載のスプラッター映画の先駆けともいえる作品である。,2
当時、映画における残酷描写はマンネリ化しており、本作で表現されたフルカラーでの流血描写は、ホラー映画製作者たちに大いなる刺激を与えた。,2
日本語版の題名は当初は『2000人の狂人』であったが、のちに『マニアック2000』に改題されている。,2
2005年には、本作のリメイク版が製作された。,2
武勇の誉れ高く、「越後の鍾馗」と呼ばれたという。,2
上杉謙信に仕え、越中攻略、1561年（永禄4年）の甲斐武田氏との第四次川中島の戦い、北条氏との小田原城攻囲戦では第三陣、1564年（永禄7年）の下野の佐野城攻めや唐沢山城の戦いなど各地を転戦して武功を発揮する。,2
特に第四次川中島の戦いでは、不穏な動きをする一向一揆に備えるため、山本寺定長と共に越中に出陣し、上杉本隊の川中島入りを助けた。,2
1575年（天正3年）の「上杉家軍役帳」によると217人の軍役を負担した。,2
主君・謙信からの信頼は絶大で、謙信の関東管領職の就任式の際には、柿崎景家と共に太刀持ちを務めた。,2
武道に通じ、多くの武勲を挙げた以外にも柿崎景家と共に奉行職を務めた。,2
また、発想力に富む戦術家であったことから、謙信は強敵と思われるところには朝信を差し向けた。,2
織田信長が侵攻すると北陸方面の柴田勝家らを魚津城などで迎え撃った。,2
1578年（天正6年）の謙信死後の家督争いである御館の乱では上杉景勝を支持し、上杉景虎を支持をしていた甲斐の武田勝頼との外交交渉にも当たっている。,2
その後、家督争いは景勝が勝利し、1580年（天正8年）3月、主君・景勝から刈羽郡の六ヶ所と景虎派に加担して滅亡した三条城主・神余親綱の旧領を与えられ、併せて嫡子・乗松丸にも北条氏の旧領から恩賞地が与えられた。,2
御館の乱で景勝を助けて活躍した朝信に、景勝は厚く報いたのである。,2
朝信は忠義、仁愛の心が深く、士卒をいたわり、百姓をいつくしんだので万人から慕われた、内政においても活躍し武闘派の多い上杉家臣の中で目立つ存在だった。,2
本能寺の変後まもなく老齢で隠居し、文禄元年（1592年）頃に死去したともいわれる。,2
子の乗松丸は、朝信の死後に景信と名乗り家督を継ぎ、新発田重家攻めなどで軍功を立てた。,2
環状炭素化合物の金属原子置換の主な効果の1つは、典型金属の大きなサイズにより、幾何を歪めることである。,2
例えばキレート環等、環の中に金属を含む多くの化合物が知られている。,2
通常、これらの化合物はメタラサイクルには分類されないが、命名規則が厳密に守られている訳ではない。,2
配位化学や超原子化学の分野では、例として、メタラクラウン、メタラクリプタート、メタラヘリックス、分子車輪等がある。,2
Dewar-Chatt-Duncansonモデルでは、M(η2-アルケン)中心の共鳴構造の1つは、メタラシクロプロパンである。,2
安定化合物の例として、(PPh3)2Pt(CH2)3がある。,2
最初の例は、シクロプロパンへの白金の酸化付加により作られた。,2
メタラシクロブタン中間体は、メタセシス反応やエチレンのオリゴ化、二量化に関わる。,2
メタセシス反応では、Chauvin mechanismが求電子性金属カルベン触媒のアルケンへの攻撃を引き起こす。,2
大部分は、銅(I)や亜鉛(II)誘導体等の低原子価金属中心での2つのアルキンのカップリングにより生じる。,2
"後期遷移金属(Co, Ni)誘導体は、アルキンからアレンへの金属触媒三量化の中間体である。",2
"早期遷移金属(Ti, Zr)誘導体は、化学量論的用いられる。",2
例えば、ジルコンアシクロペンタジエンは、Cp2ZrC4Me4は、C4Me42-の便利なキャリアである。,2
最も古いメタラサイクルの1つかは、第一鉄のジメタラシクロペンタジエン錯体であり、化学式はFe2(C2R4)(CO)6である。,2
これは、アルキンのカップリングやチオフェンの脱硫で生じる。,2
メタラシクロベンゼンは、化学式LnM(CH)5であり、CH中心の1つが遷移金属錯体で置換したベンゼン誘導体とみることができる。,2
また、メタラシクロペンタンは、エチレンと金属酸化物からの不均一なメタセシス反応の触媒の進化における中間体として生じる。,2
メタラシクロペンタン中間体は、メタラシクロブタンに異性化すると提案されており、後者はその後、プロピレンが除去されてアルキリデンを生じる。,2
初期の例としては、IrCl(PPh3)3の環化による四員環IrPCCを含むIr(III)ヒドリドの形成が挙げられる。,2
パラジウム(II)及び白金(II)は、長い間、アゾベンゼン、ベンジルアミン、2-フェニルピリジンのようなオルトメタル化芳香族リガンドと考えられてきた。,2
これらの反応は、ソープ・インゴールド効果を含む置換効果による影響を強く受ける。,2
アリル置換基を欠くリガンドは、メチル基活性化によりシクロメタル化されることがあり、その初期の例としてはメチルホスフィンリガンドの内部酸化付加がある。,2
メタラサイクルの形成は、分子内C-H活性化過程を阻害する。,2
このため、オルトメタル化に抵抗性を持つ特殊な「ピンサー錯体」リガンドが開発された。,2
日本の戦国時代の天正年間（劇中の台詞によると1586年）を舞台とし、野武士の略奪に悩む百姓に雇われた7人の侍が、身分差による軋轢を乗り越えながら協力して野武士の襲撃から村を守るという物語である。,2
当時の通常作品の7倍に匹敵する製作費を投じ、1年近い撮影期間をかけて作られ、興行的にも大きな成功を収めた。,2
複数カメラや望遠レンズの効果的使用、緻密な編集技法などを駆使して、クライマックスの豪雨の決戦シーンなどのダイナミックなアクションシーンを生み出した。,2
また、アメリカの西部劇（特に黒澤が敬愛するジョン・フォード）の手法を取り入れ、綿密な脚本と時代考証により、旧来のアクション映画と時代劇にはないリアリズムを確立した。,2
本作は世界で最も有名な日本映画のひとつである。,2
1954年の第15回ヴェネツィア国際映画祭では銀獅子賞を受賞した。,2
国内外の多くの映画監督や作品に大きな影響を与えており、1960年にアメリカで西部劇『荒野の七人』としてリメイクされた。,2
最高の映画のリストに何度も選出されており、2018年にBBCが発表した「史上最高の外国語映画ベスト100」では1位に選ばれた。,2
外国語映画基準を超えてハリウッドを含む歴史上、すべての映画の中で最高の映画100選で7位に選ばれた。,2
前半部では主に侍集めと戦の準備が、後半部では野武士との本格的な決戦が描かれるが、「侍集め」、「戦闘の準備（侍と百姓の交流）」、「野武士との戦い」が時間的にほぼ均等であり、3部構成とする見方も可能。,2
村人たちは、戦によりあぶれて盗賊と化した野武士（百姓たちは「野伏せり」と呼ぶ）たちに始終おびえていた。,2
春、山に現れた野武士達の話を盗み聞いた者がおり、その年も麦が実ると同時に、40騎の野武士達が村へ略奪に来ることが判明する。,2
これまでの経験から代官は今回も頼りにならないことは明白であり、村人たちは絶望のどん底に叩き落とされていたが、若い百姓の利吉は、野武士と戦うことを主張する。,2
村人たちは怖気づいて反対するが、長老儀作は戦うことを選択し、「食い詰めて腹を空かせた侍」を雇うことを提案する。,2
力を貸してくれる侍を求めて宿場町に出た利吉・茂助・万造・与平の4人は木賃宿に滞在しながら、白米を腹いっぱい食わせることを条件として侍らに声をかけるが、ことごとく断られ途方にくれる。,2
そんな中、近隣の農家に盗賊が押し入り、子供を人質にとって立てこもる事件が発生する。,2
周囲の者が手をこまねく中、通りかかった初老の侍が僧に扮して乗り込み、盗賊を斬り捨てて子供を救い出す。,2
侍は勘兵衛と名乗る浪人で、騒ぎを見ていた得体の知れない浪人風の男が絡んだり、若侍の勝四郎が弟子入りを志願したりする中、利吉が野武士退治を頼みこむ。,2
勘兵衛は飯を食わせるだけでは無理だと一蹴、村の概要を聞くに仮に引き受けるとしても、侍が7人は必要だという。,2
しかし、これを聞いていた同宿の人足たちが、これまで利吉ら百姓を馬鹿にしていたにもかかわらず、百姓の苦衷を分かっていながら行動しない勘兵衛をなじる。,2
勘兵衛は翻意して、この困難かつ金や出世とは無縁の依頼を引き受けることを決意する。,2
共に闘う侍を求める勘兵衛の下に、勘兵衛の人柄に惹かれたという五郎兵衛、勘兵衛のかつての相棒七郎次、気さくなふざけ屋の平八、剣術に秀でた久蔵が集う。,2
さらに利吉達の強い願いで、まだ子供だとして数に入っていなかった勝四郎も6人目として迎えられる。,2
7人目をあきらめて村に翌日出立しようとしたところに、例の得体の知れない浪人風の男が泥酔して現れる。,2
男は家系図を手に菊千代と名乗り侍であることを主張するが、勘兵衛らに家系図が他人のものであることを見破られてからかわれる。,2
勘兵衛らは菊千代を相手にしないまま村に向かうが、菊千代は勝手について来る。,2
一行は村に到着するが、先に帰ってきていた万造が「侍が来たら何をされるかわからない」と、強制的に娘の志乃の髪を切って男装させてしまったこともあって、村人たちは怯えて姿を見せようとしない。,2
一行がとりあえず儀作に面会する中、危急を知らせる板木を打つ音が鳴り響くや、野武士襲来と勘違いした村人は一斉に家を飛び出し侍に助けを求める。,2
これは菊千代の仕業であった。,2
侍たちと村人たちとの顔合わせを成立させたことで、菊千代は侍の7人目として認められる。,2
勘兵衛たちは村の周囲を巡り、村の防御方法を考案し、百姓たちも戦いの為に組分けされ、侍達の指導により戦いの心得を教えられる。,2
一方、勝四郎は男装させられていた志乃と山の中で出会い、互いに惹かれてゆく。,2
そんな折、菊千代が村人らから集めた刀や鎧を侍らの元に持ち込んでくる。,2
それは村人が落ち武者狩りによって入手したものだった。,2
負け戦での辛酸を舐めてきた侍たちはこれを見て気色ばむが、菊千代は「お前たち、百姓を仏様だと思っていたか！百姓ほど悪ズレした生き物はないんだ！でもそうさせたのはお前ら侍だ！」と激昂する。,2
菊千代は、侍にあこがれ村を飛び出した農民だったのだ。,2
彼の出自と農民の事情を察した侍達は怒りを収める。,2
村人は侍の指導の下で村の防衛線を固めるが、小川の向こう側にある数軒の家はどうしても防衛線の外になってしまう。,2
守りきれない離れ家は引き払って欲しいとの申し出を聞いた茂助は、自分たちの家だけを守ろうと結束を乱す。,2
それに対し勘兵衛は抜刀して追い立て、村人に改めて戦の心構えを説く。,2
物見を捕らえ、山塞のありかを聞き出した侍達は、先手を打つため利吉の案内で野武士の山塞へと赴き、焼き討ちを図る。,2
侍たちはあぶりだされた野武士数人を切り伏せ、囲われていた女たちを逃すが、その中の美しく着飾ったひとりは、野武士に談合の代償に奪われた利吉の女房だった。,2
利吉の姿に気づいた彼女は火の中へ再び飛び込む。,2
それを追おうとする利吉を引き留めた平八は野武士の銃弾に倒れる。,2
村に戻り、皆が平八の死を悼む中、菊千代は平八が作り上げた旗を村の中心に高く掲げる。,2
それと同時に野武士達が村へ来襲、戦いの幕が切って落とされる。,2
築いた柵と堀によって野武士の侵入は防がれたものの、防衛線の外側にある離れ家と長老の水車小屋には次々と火が放たれる。,2
水車小屋から動こうとしない儀作を引き戻そうとした息子夫婦も野武士の手にかかる。,2
唯一助かった赤子を抱き上げる菊千代は「こいつは俺だ」と号泣する。,2
夜半から朝へと時は流れる中、勘兵衛の地形を生かした作戦が功を奏し、侍と村人は野武士を分断し徐々にその数を減らしていく。,2
しかし、種子島（火縄銃）をひとりで分捕ってきた久蔵を勝四郎が「本当の侍」と称賛したことから、菊千代は対抗意識を燃やして持ち場を離れ、単独で野武士を襲撃する。,2
菊千代は二挺目の種子島を持ち帰って来たものの、不在にしていた持ち場が野武士による襲撃を受け、さらに野武士の騎射兵が村に入り込んだため、与平を含む多くの村人が戦死し、侍のうち五郎兵衛も三挺目の種子島に撃たれて斃れる。,2
日が暮れ戦いは一時やむ。,2
相次ぐ戦いで村人らは疲弊するが、山塞から焼け出されたうえに数を減らされ、逃亡する者も出始め、追い詰められて焦っている野武士達も明日は死に物狂いで攻めて来るだろうことが予想された。,2
その夜、村人たちは隠していた酒や食料を持ち出して気勢を上げる。,2
その喧騒から離れた勝四郎は志乃に誘われ、悲壮感の中で初めて体を重ねる。,2
その場を見咎めた万造が激高し騒動となるが、妻を喪った利吉が野武士にくれてやったのとは訳が違うと万造に一喝して場を収める。,2
豪雨が降りしきる中夜が明け、残る13騎の野武士が襲来する。,2
勘兵衛はあえてこれらをすべて村に入れたうえで包囲し、決戦が始まる。,2
野武士らは1騎また1騎と討ち取られ、あるいは逃亡するが、野武士の頭目は村の女子供が隠れていた家に密かに入り込む。,2
大勢が決したころ、小屋に潜んでいた頭目が放った銃弾によって久蔵が斃れる。,2
小屋に駆け付けた菊千代も撃たれるが、菊千代は鬼気迫る迫力で追いつめた頭目を刺し殺し、自らもその場で果て、野武士はついに壊滅する。,2
野武士を撃退した村には平穏な日常が戻り、晴れ空の下で村人は笛や太鼓で囃しながら田植にいそしむ。,2
活力に満ちて新たな生活を切り拓いていく村人たちとは対照的に、その様子を見つめる生き残った3人の侍の表情は浮かない。,2
侍たちの横を田植に向かう村の娘たちが通り過ぎていく。,2
その中に志乃がおり、勝四郎を見て躊躇うが、何も言わずに振り切って田に駆け込む。,2
名前は後に仲間として受け入れられた時にそのまま定着する。,2
村で百姓たちに戦備えのための槍の指導をするなどをしており、額当てのように、篭手を頭に巻いている。,2
孤児となった後も、いくつかの戦禍を見聞きしているような言動がある。,2
そこで侍の日常生活から城勤めに関する詳細までを調べるため、橋本は先行して上野の国立国会図書館に通うが、「当時の侍の昼食は、弁当持参だったのか、給食が出たのか」「当時は1日2食であり、昼食を摂る習慣はなかったのではないか」等の疑問が解決できず、物語のリアリティが保てないという理由で断念した。,2
次に上泉信綱などの剣豪伝をオムニバスで描く『日本剣豪列伝』を企画し、橋本が初稿を執筆するが、クライマックスの連続では映画にはならないためこれも断念した。,2
その後、黒澤と橋本はふとした話から、戦国時代の浪人は全国を旅して回る武者修行でどのように食べていけたのかという疑問が出てきて、それを東宝の文芸部員に調べさせたところ、結果報告に来た本木荘二郎から、「宿泊先の道場や寺院がない場合は、百姓に雇われて飯と宿を与えてもらう代わりに、盗賊などから村を守っていた」という話が出てきた。,2
この話が元となり、百姓が侍を雇うという本作のストーリーの根幹が生まれた。,2
1952年12月、黒澤と橋本は小国英雄を加え、熱海の旅館「水口園」に投宿して脚本執筆を開始した。,2
黒澤は七人の侍のキャラクターのイメージを大学ノート数冊にびっしりと書き込み、その内容は身長から草履の履き方、歩き方、他人との応答の仕方、背後から声をかけられたときの振り返り方など、ありとあらゆるシチュエーションに対応する立ち居振る舞いにまで及んだ。,2
脚本執筆は橋本が第1稿を書き、それを黒澤と橋本が根本的に書き直し、2人が同じシーンを書いたものを小國が判定して良いところだけを取り、完成すると次のシーンに移るという形で進められた。,2
その緊迫感はお茶を運びに来た女中も怖くて部屋に入れないほどだったという。,2
三船は脚本を読んで、黒澤に「菊千代というのは僕ですね」と配役も告げていない段階で言ってきたという。,2
菊千代のおどけた場面は、すべて三船の演技プランによるものである。,2
久蔵は宮口精二が演じることになった。,2
宮口は剣道の経験が全くなかったため、「こんなえらい剣豪なんてやれません」と断ろうとしたが、黒澤に「そこはカメラで何とでもするから」と説得された。,2
それからは剣術指導の杉野嘉男のもとで刀の抜き方から特訓を受けた。,2
しかし、板木の音で水車小屋から6人の侍が飛び出すシーンでは、宮口の走りが一番速く、走り方も腰が据わっていたため、黒澤は安心したという。,2
利吉役には新人を起用すべくオーディションが開催されたが、最終的にはオーディションに参加しなかった土屋嘉男が起用された。,2
土屋はパチンコから劇団俳優座に戻った際に、同劇団でオーディションを行っていた黒澤とトイレですれ違っただけであったという。,2
また、土屋によれば当初は木村功が利吉役の予定であったといい、木村から「役をとられちゃった」とぼやかれることもあったと述懐している。,2
土屋は撮影後に登山へ赴くことを予定していたが、撮影期間が延びたため撮影途中で山へ行こうとしたところを黒澤に説得され、監視も兼ねて黒澤の自宅に居候することとなった。,2
村人役は、主要俳優を除くと東宝の大部屋俳優が23人、エキストラ業者の俳優が17人、劇団若草やこけし座などの児童劇団の子役が18人参加した。,2
劇団若草の二木てるみも3歳で百姓の幼児役で出演した。,2
百姓役の加藤茂雄によれば、当時加藤らは東宝専属ではなく演技協社（全国映画演劇労働組合東宝演技者支部）との契約による参加であったが、本作品の撮影遅延により専属俳優が必要となり、演技協社の俳優が東宝専属として迎えられることになったという。,2
家族を野武士に殺された久右衛門の婆様役は、助監督の廣澤栄が杉並区の老人ホームで役探しをして見つけてきた、キクさんという女性が演じた。,2
キクさんは東京大空襲で家族を失ったという役と同じ人物で、廣澤たちが懸命にセリフを覚えさせたが、本番では「身寄りがB-29のために殺されて…」と口走り、スタッフを困らせた。,2
黒澤は「感じが出ているから」とOKにし、台詞は三好栄子が吹き替えした。,2
村の広場に百姓を集めて侍たちが訓示する場面では、キクさんと同じ老人ホームの女性たちも出演した。,2
俳優座養成所時代の仲代達矢は、本作で町を歩く浪人役で出演している。,2
仲代の出番はただ歩いて通り過ぎるだけの数秒だったが、黒澤から何度も歩き方でダメ出しされた。,2
撮影は朝から始まるも、OKが出たころには午後3時を回っていた。,2
しかし、黒澤には仲代の印象が残っており、のちに『用心棒』に起用された時に、黒澤から「あのときの仲代を覚えていたから使ったんだ」と言われたという。,2
屋内セットはスタジオ内に組んだ「木賃宿」「水車小屋」「利吉の家」の3杯のみで、それ以外はすべて野外で撮影された。,2
主なオープンセットとロケーションの場所は以下の通りである。,2
物語の中心となる村は、日本中の何処にでもある典型的な農村の原風景を想定し、北は福島県から西は岐阜県までロケーション・ハンティングを40日近くも行ったが、適地を見つけることはできなかった。,2
そこで地形ごとに別々の場所で撮影してひとつの地域のように見せることにした。,2
村内は東宝撮影所手前の田んぼを借用してオープンセットを作り、村の東と南は伊豆堀切、西は御殿場市、北の斜面と村の全景は下丹那、裏山は箱根で撮影した。,2
村の全景のセットはオープンセットとは別に作られ、丹那トンネルの真上から俯瞰で撮影したが、その時に電柱がどうしても画面に入ってしまうため、東京電力に頼んで一時的に電柱を移設した。,2
水車小屋は当初伊豆市堀切に建てられ、炎上するシーンで実際に燃やされたが、黒澤は燃え方が気に入らないとして作り直されることとなった。,2
台風による倒壊の危機も経て撮り直されたが、やはり黒澤は気に入らず、最終的に東宝撮影所でセットが組まれることとなった。,2
撮影初旬の黒澤は体調が優れず、7月10日にサナダ虫で入院して2週間撮影中断した。,2
9月までに伊豆でのロケーション、水車小屋や木賃宿の室内シーン、町のオープンセットでの侍探しや果し合いのシーンなどを撮影した。,2
裏山での勝四郎と志乃のラブシーンは、シナリオではスミレの花畑を想定していたが、季節的にスミレは咲いておらず、スタッフ全員で山の中で野菊の花を摘み、それを植えて花畑を再現した。,2
